ilkid,player_name,position,impact_score,ppg,apg,rpg,fg_pct,usage_proxy,playoff_ppg,allstar_appearances,mad_score,is_outlier_mad
HERMSCL01,Clarence Hermsen,C,11.927430555555555,9.26736111111111,1.2708333333333333,1.6215277777777777,0.29663891458526054,2174.028387096774,5.0,0.0,84.1253460984108,True
NOELPA01,Paul Noel,F,4.420398009950248,3.288557213930348,0.6965174129353234,0.4228855721393035,0.29133858267716534,1111.5,1.5714285714285714,0.0,43.568302370828334,True
NOVAKMI01,Mike Novak,C,5.0512,3.36,1.4,0.016,0.31021194605009633,892.6800000000001,0.0,0.0,34.99535832627239,True
VANCEGE01,Gene Vance,G,11.424712643678161,8.258620689655173,2.293103448275862,0.5919540229885057,0.31469740634005766,596.7091525423729,6.333333333333333,0.0,23.288733085753705,True
KUBERST01,Steve Kuberski,F,8.841197183098592,5.482394366197183,0.5950704225352113,3.778169014084507,0.4173044925124792,15.28347473724199,5.7,0.0,22.459630971165573,True
BLACKCH01,Charlie Black,F,12.066911764705882,9.154411764705882,2.2941176470588234,0.22794117647058823,0.28338762214983715,556.7876923076923,7.125,0.0,21.880930642402394,True
LEVANAN01,Andrew Levane,F,6.933009708737863,4.495145631067961,1.9805825242718447,0.08737864077669903,0.3102362204724409,361.56705882352946,0.0,0.0,14.43380826162317,True
DOVESO01,Sonny Dove,F,20.44363636363636,13.842424242424242,1.187878787878788,7.393939393939394,0.46296296296296297,17.997638311830308,0.0,0.0,13.5642197115719,True
HANSEGL01,Glenn Hansen,G,7.790178571428571,5.25,0.8303571428571429,2.205357142857143,0.41237113402061853,16.11068417415342,0.0,0.0,12.599590936029532,True
CORLERA01,Ray Corley,G,7.093023255813954,4.5813953488372094,1.7674418604651163,0.5581395348837209,0.31106471816283926,303.552,2.8333333333333335,0.0,12.130980788757432,True
WOHLDA01,Dave Wohl,G,11.26829268292683,6.226829268292683,3.4073170731707316,1.3609756097560977,0.4299025836509953,11.795195283714074,1.5,0.0,11.88724646342492,True
BOERWTO01,Tom Boerwinkle,C,17.363622047244093,7.2377952755905515,3.1606299212598423,9.047244094488189,0.45339498661474814,11.699862375755892,7.142857142857143,0.0,10.772084724613025,True
RINALRI01,Rich Rinaldi,G,6.6952380952380945,4.821428571428571,0.8809523809523809,1.1666666666666667,0.3891509433962264,19.159682179341658,0.6666666666666666,0.0,10.393465759867023,True
SCHLUDA01,Dale Schlueter,C,10.849488054607507,5.341296928327645,1.5699658703071673,5.177474402730375,0.4970414201183432,10.738204488778054,2.0,0.0,8.460866899105913,True
BROKAGA01,Gary Brokaw,G,12.742323651452281,8.0,2.966804979253112,1.6887966804979253,0.4457317073170732,14.690804403048263,13.833333333333334,0.0,7.983319713929896,True
